Name,Twitter Handle,Wallet Address,Avatar,Side 1,Side 2,Side 3,Side 4,Side 5,Side 6,Side 7,Side 8,Side 9,Side 10,Side 11,Side 12,Side 13,Side 14,Side 15,Side 16,Side 17,Side 18
Euris,https://x.com/Euris_JT,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,/avatars/DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj.png,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,8cAb93o9zCB13T97dU83i6pV13p4aMxKFEiysQUKY9vs,HetnuaUUbBjFCx5wFYoiQuTRmDFKbEwqj1z4MsEJ1jYf,9iUkJrazoTe1zpLgAnb2tiZBjpLtjgU4LjcCbi7ue9Np,rpcV4bAw7BAR6xzwLrmAbSJ17q7A5i4fAZdMg94auLk,2uh8nodZjV9dgjYqFqRr7MJURkWFtHkMZRZdt2rNavTF,Gpz8HiRqUWkAa6SFD8DPuXCNzkvqnHbdVhRNNqUxsUbh,,,,,,,,,,,
Cupsey,https://x.com/Cupseyy,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,/avatars/2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f.png,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,BaLCEtq6qgPFruxfnjWBJBkWwCXdwmuodn4NUicQqMSw,FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR,7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,,,,,,,,,,,,,
REDARDILY,https://x.com/rightily,5XVKfruE4Zzeoz3aqBQfFMb5aSscY5nSyc6VwtQwNiid,,5XVKfruE4Zzeoz3aqBQfFMb5aSscY5nSyc6VwtQwNiid,AcoNeFQsTPYs7ZrH8RMWaxxGJTTQJJ4H5aTXmptaz5UK,E597nSTtQjV4PfLuJZcvF9SFByqvYmNduoFK5QsoqCex,3GdWvubXgGLGDYcPgEL3i2ZoFchd4bm4wHiWPbVum4iq,DqHhW6NyA6njQ3EoqHhkat7VHFeKzQyiHgkCEooCCMLe,89LacMzfc2GU9474p9j5Qr2qRdb45X93Keivus4Nd82h,4zntFWPjop3oTHKk3by3eusdJixyWZT7SWTmhBapoFVy,13VShDethuqKeF4VMDSMWM78B4MmGwzYFSV6WXTuqQYa,DXU65912VjiPUhKR37TLiHCrbp4uNHVNNZiBdLv1uAx1,,,,,,,,,
Patty Ice,https://x.com/patty_fi,6nhskL8RVpXzWXC7mcC1UXpe3ze2p6P6og1jXVGUW88s,/avatars/6nhskL8RVpXzWXC7mcC1UXpe3ze2p6P6og1jXVGUW88s.png,ARNvvMi2Bvt4BVktjFjeheWCgK5SBAQoHpob4EYdeivx,74HG4sMrMcFAKSAeJ3pUqCjeFP16bR6GE4yi4nygTe2X,DDrUDi5DYim728SWgN5JoszWSTjTV3X8RX5g4YHiEknH,5k6L3QEjFAbe9PY1vT5e6e4TmdiKwYKq4JJ7h8fGLpr9,3y8NTXW73T8q9vcBQPi3JKrLPTQGfHLqac2SMYXS64zy,6EXmN42VW6yU9eChELtsrzFTgiBitiy5v3L6eDMZEAb6,,,,,,,,,,,,
JIDN,https://x.com/jidn_w,3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE,/avatars/3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE.png,3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE,FFDiKhFxjWM6hxLfQduquj42idhwkHQobGHG88UFZwag,41ifYej66nmoLH6tyk9HXCbasuFXsXQgvGh5pFNH435X,,,,,,,,,,,,,,,
Marcell,https://x.com/MarcellxMarcell,ATFRUwvyMh61w2Ab6AZxUyxsAfiiuG1RqL6iv3Vi9q2B,/avatars/ATFRUwvyMh61w2Ab6AZxUyxsAfiiuG1RqL6iv3Vi9q2B.png,ATFRUwvyMh61w2Ab6AZxUyxsAfiiuG1RqL6iv3Vi9q2B,FXzJ6xwH2HfdKshERVAYiLh79PAUw9zC7ucngupt91ap,4QmkHvmqoUkMvno8DRwvUkVYXCR4sRGvR7TjLPrgmQ1p,3zD1armVsd4UUDW4RvcaE4ve6oEkmGyHPEjtB7q5Q9LU,GiJzJjBaeAZqcP4NTz9xjAhk4ZMau1tfgViumsKZ5xw1,3bMTqjwEemHWov6yKCJ7CrjVxe99S6UwJPev8obzjo8P,3bMTqjwEemHWov6yKCJ7CrjVxe99S6UwJPev8obzjo8P,ACHhRQMbTxuWqU3bmbBbgUNGsPsYnvB8KLcPkkXCY1C7,8RfH3LUSed9xM5bh7txdWKZFNbYGB8AeLCaeZjC9kN1o,,,,,,,,,
Casino,https://x.com/casino616,8rvAsDKeAcEjEkiZMug9k8v1y8mW6gQQiMobd89Uy7qR,/avatars/8rvAsDKeAcEjEkiZMug9k8v1y8mW6gQQiMobd89Uy7qR.png,8rvAsDKeAcEjEkiZMug9k8v1y8mW6gQQiMobd89Uy7qR,J898BLdjUWFPsvqwraj1rjg33rE9B6zJY6HvWFKx71fo,CZRZzgaqS6xWf3GU9ckvnrZxA5J2qGzj55YffN4KWxEw,,,,,,,,,,,,,,,
Jack Duval,https://x.com/jackduvalstocks,BAr5csYtpWoNpwhUjixX7ZPHXkUciFZzjBp9uNxZXJPh,/avatars/BAr5csYtpWoNpwhUjixX7ZPHXkUciFZzjBp9uNxZXJPh.png,6Eegkyd2qNzxSzZz3PH3jiDyqL5HFcHdcsb9zfMzWHKB,6uyG4FSPrK1r6HwShqnh9Ks9VmwtNqpTXzmb3cKx4v6z,DkWzWsQT9ZThfkFfdZqzNT59dZMiJXp81oob8QBG9UcT,7uyGRgoCRKfynPbB35kWQwEGz9pmRvUyNFunV939mXpN,BvTpw9VBCPbEBPhdp1fuJw1DEaVcXktnj4gZw8pUkEJS,65GV3NLLBA2kccpSRrqYCHjS9AP6NPLY3zQNEzvAMCwr,ADXRa7VuzoaXyuYQ2qAWwL3ApViV4msiecjcoXo6Jb5J,CcypmgbrvYfnbXyDiTqZJ4qZ8ELuSGackqUJ2aCbbEaE,8xpKxeMfikXqu3Sxr3kUbe9JFU7QBSWH17RStJJ88Cko,DU1duJVh4VDY7qWsR6a5wskfsGgtNTvDbayr5o9seLJd,8yyfR5qecWoVBpT1fkcZL3LZkKAHJVc7dgBnsXm1AXuo,B86xaBSuCDJgAo657bqGRZx5k3gJKCAddVt11VcrurXQ,HpaJsog6oVa2XL8iYcL8MweL1WxjXriLx9rAopXPSUkj,9bRSMdwQ6ZZJs1WySnHhSt1SYdLghZtQBiUCqnjNaun4,8PXKkrJriorsPJvrBcehPxYfFsXqEUTc5cNSPf4WFAvj,BYnJkqF9YfzkDHcSpRgKD8WGyLhp32Yrk4CkGAHLZTFc,BMTb5wqKDym7rjfoEkgqUuhEg79CnjaEAiPaSBFq7cbD,Hj1voNEcTZv3vDpsGnbGAE8ZUTnRFpfUo3dJqaXscJh6
DANI WORLDWIDE,https://x.com/DaniWorldwide,AuPp4YTMTyqxYXQnHc5KUc6pUuCSsHQpBJhgnD45yqrf,,GFs77ZfMxeFQ4MLBPZpyy9tcZhroLxgBJEGAm39cQDfg,Aw1ici3XZ2AfBUfy6apUHRQiTEJGm2Hybhqj2Jfxf2mS,Hrne1Prq9r19vSfW7q68ReXeKVrEmkfFneK7q3WRKY9J,7i4Nq5qhRZtyQ483y2C7w74GRnAaQcofzG4QTCXUEEH6,BKWFf5zmw7PLmBZPUaHk8YXgZbZX5HHf7DT3LV6ViAJy,GbgdsquZQc1VMzisUmEJG9yLEjM7UNN1aL1mCoTRFqQE,G7mfcf5GbZezcBKqcDo5u16TSLARTVxTRSjXxDYbVnaq,,,,,,,,,,,
HADES,https://x.com/HadesCooks,BR9DNf1A1U4ssHrvFSd4Pp3CGgANUWMSnrXftzR3QB17,,FFiF6cZJ8QtDgMQZKsnYaVjgMZqAQP1NX9EC78j7EkdM,8iTp7hZhsm3VajWEiUvzBQshQEfdNaup8cppbAdJJVHg,Gbf9WEjcKppwUL58u2jJXiaz6CD78BkWeRxF8jEnhBoR,,,,,,,,,,,,,,,
